date,open,close,high,low
2018/1/24,222.05,221.95,221.9,222.05
2018/1/25,222.4,223.27,222.4,223.56
2018/1/26,221.9,221.55,221.55,222.09
2018/1/30,220.02,218.73,218.06,220.02
2018/1/31,217.93,218.45,217.92,218.59
2018/2/1,217.85,217.21,216.8,217.85
2018/2/2,218.18,218.04,217.9,218.3
2018/2/5,215.55,215.65,215.55,215.72
2018/2/6,215.65,216.34,215.65,216.87
2018/2/7,215.5,214.89,214.8,215.5
2018/2/8,213.5,214.62,213,214.75
2018/2/9,214.1,213.88,213.78,214.27
2018/2/12,212,211.94,211.76,212
2018/2/13,213.18,213.31,213.18,213.36
2018/2/14,214.86,214.85,214.8,214.93
2018/2/22,217,217.01,217,217.25
2018/2/23,218.43,218.28,217.75,218.43
2018/2/26,217.69,218.25,217.69,218.81
2018/2/27,217.8,217.79,217.68,218.1
2018/2/28,214.86,214.59,214.43,214.86
2018/3/1,214.6,214.42,214.4,214.6
2018/3/2,211.42,212.36,211.42,212.68
2018/3/5,212.31,212.09,212.05,213.02
2018/3/6,211.35,211.35,211.35,211.35
2018/3/7,211.86,211.44,211.35,211.86
2018/3/8,209.45,209,209,209.45
2018/3/9,209,208.88,208.8,209
2018/3/12,211.41,211.31,211.28,211.45
2018/3/13,211.2,211,210.65,211.2
2018/3/14,211.44,211.63,211.44,211.86
2018/3/15,210.76,210.39,210.32,210.76
2018/3/16,208.9,209.57,208.9,209.6
2018/3/19,207.85,207.2,207.2,207.85
2018/3/20,209.57,209.13,209.1,209.65
2018/3/22,209.63,209.44,209.42,209.63
2018/3/23,209.44,209.51,209.33,209.75
2018/3/26,207.91,207.36,207.36,207.91
2018/3/27,207.37,207.61,207.37,207.75
2018/3/28,205.5,205.67,205.5,206.1
2018/3/30,203.5,204.25,203.5,204.25
2018/4/3,203.26,203.77,203.26,203.83
2018/4/4,203.01,201.3,201.3,203.01
2018/4/9,201.3,201.1,201,201.65
2018/4/10,204.58,204.3,204.3,204.58
2018/4/11,203.01,202.78,202.72,203.08
2018/4/12,202.6,202.17,202.1,202.6
2018/4/13,203.24,202.75,202.6,203.24
